word	frequency
limited	0.0397597086327
hordes	0.00611687825118
hats	0.00866557752251
dynamic	0.0229382934419
yellow	0.0127434963566
gameplay-	0.0127434963566
credentials	0.00713635795972
woods	0.00841070759538
sleep	0.00560713839692
spiders	0.00560713839692
consists	0.00433278876126
captain	0.00229382934419
saved	0.0221736836605
consider	0.024977252859
looking	0.0670307908359
paris	0.00484252861552
invaders	0.00101947970853
swap	0.024977252859
lord	0.00229382934419
worth	0.0198798543163
minigames	0.00356817897986
started	0.0208993340249
mines	0.00203895941706
updated	0.0186055046807
rescue	0.0305843912559
battles	0.0341525702358
internet	0.219697877188
mania	0.0509739854265
updates	0.13329697189
bringing	0.00586200832405
vast	0.00433278876126
tickets	0.00892044744964
school	0.0550519042607
dominate	0.00280356919846
prize	0.0112142767938
skills	0.262006285092
supports	0.0387402289242
companies	0.015292195628
solution	0.0142727159194
solid	0.00305843912559
casinos	0.000509739854265
red	0.0341525702358
enhance	0.0208993340249
settings	0.17152746096
ups	0.0239577731505
clothes	0.0270162122761
enjoy	0.162352143584
force	0.0356817897986
leaders	0.00178408948993
deutsch	0.00127434963566
phones	0.0463863267381
direct	0.153431696134
chef	0.049954505718
surrounding	0.0107045369396
likely	0.0129983662838
street	0.0267613423489
levels-	0.015292195628
panda	0.024977252859
machines	0.0186055046807
even	0.193446274694
pace	0.0101947970853
cooking	0.07110870967
fingers	0.0137629760652
lights	0.0015292195628
bonuses	0.0494447658637
tips	0.0570908636777
increasing	0.0186055046807
ever	0.0935372632577
disney	0.0351720499443
simultaneously	0.000764609781398
never	0.0835973360995
affiliates	0.0277808220575
hundreds	0.0632077419289
protection	0.019115244535
studio	0.024977252859
partners.-	0.0428181477583
path	0.0318587408916
obtained	0.00662661810545
kids	0.312725400592
masha	0.0140178459923
forum	0.00841070759538
items	0.290296847004
study	0.013508106138
changed	0.00739122788685
credit	0.0124886264295
permit	0.00611687825118
military	0.00433278876126
suitable	0.0277808220575
changes	0.019115244535
glu	0.0282905619117
golden	0.0163116753365
fantastic	0.0305843912559
campaign	0.0387402289242
spooky	0.0129983662838
highly	0.0252321227861
brought	0.0265064724218
guests	0.00866557752251
total	0.0163116753365
forums	0.00305843912559
landscape	0.013508106138
opponents	0.0756963683584
army	0.0214090738791
browse	0.0708538397429
coins	0.0996541415089
tm	0.00968505723104
music	0.122082695097
therefore	0.011469146721
raids	0.00101947970853
recommend	0.0285454318389
strike	0.00892044744964
survive	0.0242126430776
type	0.0214090738791
tell	0.032623350673
mystical	0.00458765868839
relax	0.0203895941706
successful	0.0112142767938
brings	0.0112142767938
wars	0.0272710822032
award	0.0239577731505
aware	0.0104496670124
phone	0.119788865752
adult	0.00739122788685
excellent	0.0137629760652
hole	0.0107045369396
hold	0.00790096774111
supplemental	0.0015292195628
must	0.139413850142
shoot	0.0456217169568
enjoying	0.00637174817832
join	0.142727159194
room	0.0593846930219
rights	0.0553067741878
mo	0.0369561394342
work	0.0675405306902
entertained	0.00968505723104
movies	0.0112142767938
era	0.00178408948993
install	0.0331330905272
concepts	0.0124886264295
example	0.0305843912559
addictive	0.112397637866
initial	0.0104496670124
estate	0.00790096774111
give	0.13508106138
indie	0.00917531737678
ruzzle	0.00993992715817
dragons	0.0354269198714
gadgets	0.011469146721
currency	0.0267613423489
foods	0.0101947970853
want	0.217149177917
story	0.165155712782
attract	0.0178408948993
guarantee	0.00356817897986
end	0.0705989698158
thing	0.00943018730391
provide	0.0476606763738
travel	0.0496996357909
feature	0.110868418303
machine	0.0272710822032
amazing	0.139923589996
hop	0.0129983662838
answer	0.024977252859
gate	0.0124886264295
beach	0.021154203952
pizza	0.011469146721
gaming	0.0736574089413
poker	0.013508106138
fever	0.0186055046807
description	0.0101947970853
beauty	0.0221736836605
