word	frequency
forget	0.0652954619654
hordes	0.0652954619654
results	0.0326477309827
gb	0.424420502775
battle	0.0979431929481
children	0.326477309827
hunting	0.163238654913
wizard	0.228534116879
include	0.0979431929481
paying	0.130590923931
downloading	0.130590923931
garden	0.326477309827
hilarious	0.0979431929481
choice	0.261181847862
shoot	0.0652954619654
embark	0.424420502775
facebook	0.620306888671
cook	0.0652954619654
bubbles	0.0652954619654
blast	0.0979431929481
cool	0.130590923931
level	0.718250081619
skills	0.228534116879
in-app	0.48971596474
gun	0.0979431929481
vector	0.0979431929481
loads	0.0326477309827
clothes	0.163238654913
enjoy	0.163238654913
unexpected	0.0979431929481
instagram	0.163238654913
discover	0.35912504081
jump	0.228534116879
go	0.652954619654
street	0.0326477309827
design	0.0652954619654
download	0.130590923931
even	0.0979431929481
assistance	0.424420502775
cooking	0.0979431929481
fingers	0.261181847862
access	0.130590923931
version	0.130590923931
ever	0.130590923931
bird	0.0326477309827
hero	0.0652954619654
never	0.163238654913
iconic	0.130590923931
fun	0.685602350637
explore	0.261181847862
protection	0.261181847862
let	0.228534116879
others	0.195886385896
along	0.0326477309827
change	0.0652954619654
kids	0.35912504081
items	0.195886385896
inspired	0.0652954619654
allows	0.130590923931
experience	0.130590923931
credit	0.261181847862
products	0.130590923931
advertising	0.261181847862
defeat	0.35912504081
action	0.0652954619654
options	0.0326477309827
heart	0.130590923931
win	0.326477309827
technologies	0.0979431929481
tools	0.522363695723
select	0.130590923931
army	0.0652954619654
objectives	0.0326477309827
contains	0.293829578844
visit	0.48971596474
next	0.424420502775
upcoming	0.163238654913
relax	0.0652954619654
award	0.0652954619654
train	0.0652954619654
baby	0.816193274567
disabling	0.130590923931
minions	0.0652954619654
town	0.0652954619654
account	0.261181847862
join	0.0326477309827
challenge	0.750897812602
movies	0.0652954619654
learn	0.0979431929481
meet	0.391772771792
social	0.0326477309827
beautiful	0.163238654913
purchases	0.783545543585
crazy	0.0326477309827
challenging	0.130590923931
give	0.195886385896
awesome	0.0652954619654
share	0.0979431929481
currency	0.261181847862
purchased	0.130590923931
bones	0.0326477309827
times	0.0979431929481
dress	0.163238654913
information	0.391772771792
end	0.457068233758
tilt	0.0979431929481
travel	0.84884100555
feature	0.163238654913
machine	0.0979431929481
interest-based	0.261181847862
forest	0.163238654913
beach	0.163238654913
may	0.783545543585
overall	0.130590923931
power-ups	0.391772771792
collection	0.0326477309827
wrong	0.163238654913
disable	0.293829578844
adventure	0.0979431929481
coming	0.522363695723
grow	0.0979431929481
man	0.391772771792
purchase	0.130590923931
short	0.0979431929481
third	0.130590923931
bugs	0.0326477309827
scoop	0.163238654913
things	0.0652954619654
fan	0.0652954619654
dream	0.130590923931
order	0.0979431929481
wind	0.0652954619654
cute	0.130590923931
help	0.391772771792
zen	0.652954619654
soon	0.228534116879
trade	0.0979431929481
including	0.228534116879
looks	0.0652954619654
rewarded	0.326477309827
personal	0.130590923931
fix	0.0326477309827
amazing	0.326477309827
winning	0.326477309827
terms.ea.comvisit	0.424420502775
offers	0.0979431929481
choose	0.0326477309827
policy	0.979431929481
endless	0.750897812602
good	0.0979431929481
food	0.35912504081
legendary	0.0326477309827
day	0.261181847862
bank	0.0326477309827
wont	0.0652954619654
easily	0.130590923931
thrill	0.0326477309827
fast-paced	0.0652954619654
slide	0.195886385896
mode	0.0979431929481
found	0.130590923931
identifier	0.130590923931
legions	0.0652954619654
house	0.163238654913
energy	0.130590923931
challenges	0.0979431929481
unlock	0.130590923931
finish	0.0652954619654
trading	0.0326477309827
connect	0.130590923931
year	0.228534116879
girl	0.130590923931
event	0.0979431929481
special	0.163238654913
really	0.0979431929481
living	0.0979431929481
defend	0.228534116879
farm	0.163238654913
encourage	0.130590923931
race	0.0326477309827
internet	0.130590923931
achievements	0.163238654913
costumes	0.130590923931
monster	0.293829578844
defenses	0.424420502775
million	0.293829578844
little	0.0652954619654
free	0.457068233758
completely	0.0979431929481
cookie	0.457068233758
teach	0.0979431929481
beginning	0.0326477309827
card	0.293829578844
care	0.163238654913
created	0.522363695723
days	0.0652954619654
keep	0.261181847862
fruit	0.0652954619654
childhood	0.0979431929481
designed	0.35912504081
feed	0.0652954619654
foes	0.0979431929481
saving	0.0326477309827
features	0.555011426706
waves	0.293829578844
powerful	0.293829578844
number	0.130590923931
one	0.130590923931
restrict	0.0979431929481
delicious	0.0652954619654
city	0.0326477309827
horse	0.0652954619654
toy	0.0652954619654
service	0.195886385896
privacy	0.946784198498
girls	0.0979431929481
system	0.130590923931
attack	0.130590923931
store	0.685602350637
option	0.130590923931
hotel	0.0652954619654
part	0.0326477309827
begins	0.0326477309827
require	0.261181847862
exclusive	0.0979431929481
iron	0.130590923931
fruits	0.0979431929481
mini	0.130590923931
hairstyle	0.0652954619654
villains	0.0979431929481
runner	0.228534116879
ram	0.424420502775
turned	0.130590923931
locations	0.163238654913
dash	0.424420502775
need	0.424420502775
invite	0.0652954619654
leaderboards	0.130590923931
strength	0.130590923931
zoe	0.0979431929481
purchasing	0.0979431929481
mix	0.0979431929481
build	0.293829578844
online	0.130590923931
finding	0.163238654913
adjusting	0.130590923931
medals	0.130590923931
customize	0.163238654913
enter	0.0979431929481
device	0.228534116879
payment	0.130590923931
mobile	0.750897812602
medical	0.0326477309827
hungry	0.0652954619654
points	0.424420502775
clean	0.0979431929481
professional	0.130590923931
show	0.130590923931
bring	0.163238654913
carefully	0.326477309827
find	0.326477309827
redirect	0.130590923931
giant	0.0652954619654
based	0.0326477309827
menu	0.293829578844
winner	0.163238654913
controls	0.261181847862
dodge	0.0652954619654
hit	0.0652954619654
watch	0.195886385896
trees	0.0979431929481
toddlers	0.0979431929481
bean	0.228534116879
competing	0.0979431929481
areas	0.0979431929481
smash	0.0326477309827
evolution	0.0326477309827
settings	0.946784198498
guns	0.0652954619654
bad	0.391772771792
vision	0.293829578844
view	0.0326477309827
art	0.0979431929481
acquired	0.130590923931
zones	0.0326477309827
result	0.130590923931
best	0.750897812602
ways	0.35912504081
movie	0.0979431929481
weapons	0.195886385896
progress	0.130590923931
monsters	0.0652954619654
notice	0.163238654913
terms	0.326477309827
ability	0.0326477309827
screen	0.0979431929481
outfit	0.0652954619654
awards	0.0652954619654
optional	0.163238654913
received	0.163238654913
protect	0.326477309827
missions	0.0652954619654
license	0.391772771792
secrets	0.163238654913
adventures	0.0652954619654
players	0.130590923931
quests	0.84884100555
simple	0.261181847862
sweet	0.391772771792
smashing	0.293829578844
pop	0.0652954619654
satisfaction	0.163238654913
tons	0.130590923931
village	0.163238654913
majestic	0.130590923931
earning	0.424420502775
videos	0.0652954619654
create	0.163238654913
acceptance	0.457068233758
informed	0.130590923931
three	0.0979431929481
strategy	0.261181847862
secret	0.0979431929481
much	0.130590923931
basic	0.0979431929481
dozens	0.228534116879
life	0.261181847862
families	0.163238654913
packs	0.0979431929481
fire	0.228534116879
races	0.0979431929481
lives	0.0326477309827
graphics	0.0979431929481
pilot	0.0979431929481
plants	1.86092066601
laser	0.228534116879
look	0.0326477309827
choices	0.0326477309827
wild	0.0326477309827
pyramid	0.391772771792
site	0.293829578844
player	0.130590923931
ready	0.0326477309827
wisely	0.261181847862
stickers	0.0652954619654
worry	0.0652954619654
funny	0.0979431929481
different	0.0979431929481
develop	0.195886385896
doctor	0.293829578844
media	0.195886385896
make	0.163238654913
authentication	0.261181847862
android	0.424420502775
higher	0.424420502775
used	0.130590923931
downloads	0.261181847862
third-party	0.130590923931
levels	0.881488736533
user	0.652954619654
favorites	0.0326477309827
animations	0.0979431929481
center	0.0979431929481
incredible	0.0652954619654
greatest	0.130590923931
latest	0.0326477309827
rocket	0.195886385896
moments	0.0979431929481
money	0.391772771792
rooms	0.0652954619654
