word	weight
winnings	0.0536380597015
gold	1.4497098324
themed	0.0466417910448
chances	0.0454757462687
supported	0.0548041044776
results	2.00009328358
themes	0.0827891791045
bring	0.28513812712
go	0.299040247328
follow	0.427142676137
find	0.232376021226
issues	0.994577891791
help	0.309111832477
slot	0.924673507463
slow	0.0536380597015
based	0.506196750361
clipart	0.068796641791
youll	1.68454029538
menu	0.139941585695
show	0.374301071778
waiting	2.00290570835
send	0.675591510952
going	0.800122303979
black	0.0629664179104
rich	0.108442164179
thousands	0.0956156716418
ranking	0.0501399253731
premium	0.0606343283582
beat	0.972199889226
watch	0.27505958906
lucky	0.0956156716418
pocket	0.0804570895522
next	0.118789396676
vegas	0.520055970149
fan	0.399144769348
additional	0.740082960656
progress	0.35705094883
items	0.335771078906
chips	0.496735074627
special	0.560403695091
cool	0.306424979247
tickets	0.0571361940299
school	0.9531371463
magic	1.05453471506
level	0.107141309876
skills	0.13786957556
in-app	0.129012714353
button	1.00452367071
versions	0.0594682835821
applicable	0.058302238806
email	1.5110284301
leave	0.937886951959
whether	0.0641324626866
casinos	0.078125
team	0.835564540229
quick	0.132929104478
including	0.139259389673
buy	1.32235904417
challenge	0.123516688678
reels	0.058302238806
enjoy	1.15318497833
set	0.576943192981
jackpot	0.307835820896
reel	0.0921175373134
hold'em	0.101445895522
discover	0.179643973151
cash	0.207555970149
nail	0.097947761194
see	0.76793959295
design	0.491507708385
download	0.67280991207
pokies	0.0699626865672
odd	0.0513059701493
machines	0.479244402985
subject	1.24100771761
even	1.10446119008
excitement	1.85722947761
stats	0.0839552238806
lots	1.82660909828
distinctive	0.0536380597015
user	0.0731795490214
access	0.175393308822
bonuses	0.318330223881
version	0.184036130871
various	1.1207357586
diamonds	0.0594682835821
required	1.0206822984
tips	0.837399064249
tournaments	0.314832089552
ever	0.312154787155
bn	0.058302238806
available	0.880798813955
full	0.888829097875
terms	0.308062786749
install	0.0652985074627
screen	0.23478346996
makeup	0.058302238806
hundreds	0.940838602477
hours	0.870103112696
wild	3.50016324627
let	0.242469589708
invite	1.48221198694
others	0.422638759328
active	0.0559701492537
along	0.524869510394
come	1.34155844953
improve	0.415036934591
ranges	0.157416044776
c	0.0746268656716
kids	0.182235054035
license	0.110613753344
always	0.794161063785
receive	0.0629664179104
country	0.0711287313433
changed	0.0606343283582
experience	1.01641613171
players	1.66838369203
connection	1.16830887976
pick	1.1839607747
action	0.422958497225
climb	0.0571361940299
love	1.56375008637
family	0.493965163738
extra	0.248464956936
color	0.727482768907
win	2.39865099677
betting	0.0757929104478
community	1.78249024763
variety	0.948805619936
tons	0.669674090485
controls	0.129598907386
official	0.210972747851
apply	0.0851212686567
slots	1.19402985075
select	0.216748796412
challenging	0.152334782412
bingo	1.75373134328
graphics	0.56803645195
score	0.564048283838
prove	0.0524720149254
gameplay	0.426137383908
create	0.246103504558
coins	1.38554304652
visit	0.174686885677
add	2.13725351345
strategy	0.145613773315
live	0.321828358209
much	0.719139660573
dont	0.687128528283
gorgeous	0.964350524492
wait	0.0629664179104
type	0.0454757462687
today	1.587012094
choose	0.626778489556
website	1.15531775309
life	0.197783785378
th	0.0548041044776
club	0.0932835820896
brings	0.0466417910448
great	1.66718226268
phone	0.973416660051
adult	0.24953358209
real-time	0.058302238806
hold	0.0886194029851
spin	0.281016791045
must	0.468378912112
customer	0.0652985074627
account	0.317204970658
join	1.09706348421
look	0.702972655178
rights	1.03307768115
past	0.0454757462687
work	1.05312662806
hasbro	0.0513059701493
governor	0.139925373134
reviews	0.0909514925373
anywhere	0.109608208955
policies	0.750309561567
learn	0.360368507411
fun	0.482435150597
making	1.18066020703
addictive	0.798819703566
beautiful	0.343912792493
purchases	0.0773922241625
casino	1.35494402985
tap	0.314820882063
want	0.829808631162
played	0.576118452875
best	0.561067420842
awesome	0.333729216681
share	0.274415997985
purposes	0.129430970149
high	1.14579612898
player	0.60120226132
numbers	1.59657459814
purchased	0.527174191058
ready	0.540524163791
hit	1.04825634303
times	0.642887126866
dress	0.229355381705
huge	0.123600746269
different	0.654570755101
earn	0.995437757404
sit	0.058302238806
pokercruncher	0.0722947761194
media	0.225964523753
travel	0.0714319029851
feature	0.280762383549
check	0.432205968645
machine	2.08343050373
hot	0.0443097014925
auto	0.0466417910448
party	1.84074611379
android	0.464168617954
events	1.51042594667
higher	0.107147854478
wheel	0.172574626866
gaming	4.52756634754
product	0.0466417910448
used	0.470905280317
intended	5.30762050773
information	0.327690911149
bonus	5.42119811728
stop	0.687532066231
social	2.22445894511
collection	0.699067263344
hand	4.80867830065
levels	0.0535835104574
uses	0.0804570895522
adventure	0.295095006709
never	0.666079175724
multiplication	0.0652985074627
heroes	1.83321151483
authentic	0.0559701492537
las	0.271688432836
purchase	0.433661425953
characters	0.217074170725
remember	0.048973880597
older	0.142257462687
wins	0.155083955224
youre	0.0792910447761
lines	0.0839552238806
anytime	0.172574626866
think	0.684120867624
person	0.0524720149254
contact	1.42243965152
responsibility	0.0699626865672
ultimate	0.747846068635
facebook	0.58240301895
stakes	0.0886194029851
opportunity	0.353311567164
playing	1.64702098881
talk	0.0443097014925
blackjack	0.13526119403
sims	0.0851212686567
exclusive	0.535739272388
salon	0.068796641791
feedback	1.32197152076
money	2.49604336353
soon	0.255113939232
symbols	0.158582089552
brain	0.663214839882
already	0.895474044922
google	0.143233412326
rooms	3.32158348881
questions	1.04980091354
world	0.379829782957
badges	0.0443097014925
